ENDCAP_15441              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15443              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15445              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15447              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
WELLTAP_246               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_247               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_248               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_249               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_250               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_294               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_295               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_296               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_297               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_342               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_343               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_344               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_345               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_346               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_390               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_391               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_392               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_393               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_438               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_439               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_440               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_441               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_442               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_486               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_487               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_488               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_489               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_534               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_535               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_536               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_537               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_538               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_582               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_583               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_584               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_585               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_630               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_631               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_632               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_633               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_634               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_678               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_679               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_680               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_681               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144629            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144630            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144631            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144632            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144633            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144677            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144678            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144679            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144680            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144681            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144725            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144726            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144727            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144728            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144729            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144773            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144774            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144775            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144776            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144777            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144821            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144822            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144823            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144824            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144825            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144869            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144870            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144871            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144872            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144873            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144917            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144918            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144919            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144920            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144921            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144965            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144966            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144967            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144968            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144969            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145013            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145014            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145015            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145016            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145017            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145061            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145062            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145063            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145064            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145065            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_256               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_257               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_258               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_259               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_303               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_304               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_305               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_306               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_307               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_352               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_353               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_354               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_355               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_399               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_400               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_401               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_402               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_403               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_448               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_449               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_450               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_451               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_495               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_496               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_497               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_498               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_499               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_544               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_545               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_546               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_547               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_591               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_592               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_593               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_594               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_595               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_640               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_641               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_642               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_643               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_687               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_688               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_689               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_690               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_691               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144644            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144645            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144646            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144647            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144691            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144692            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144693            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144694            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144695            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144740            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144741            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144742            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144743            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144787            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144788            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144789            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144790            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144791            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144836            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144837            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144838            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144839            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144883            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144884            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144885            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144886            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144887            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144932            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144933            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144934            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144935            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144979            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144980            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144981            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144982            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144983            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145028            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145029            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145030            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145031            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145075            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145076            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145077            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145078            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145079            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_673               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_243               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_629               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_245               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_291               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_292               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_674               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_677               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_337               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_289               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_290               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_293               | TAPCELLBWP30P140          | Physically Disconnected
